,MLB Teams
0,Tampa Bay Rays
1,New York Yankees
2,Toronto Blue Jays
3,Baltimore Orioles
4,Boston Red Sox
5,Minnesota Twins
6,Cleveland Guardians
7,Detroit Tigers
8,Chicago White Sox
9,Kansas City Royals
10,Texas Rangers
11,Los Angeles Angels
12,Seattle Mariners
13,Houston Astros
14,Oakland Athletics
15,Atlanta Braves
16,New York Mets
17,Miami Marlins
18,Philadelphia Phillies
19,Washington Nationals
20,Milwaukee Brewers
21,Chicago Cubs
22,Pittsburgh Pirates
23,Cincinnati Reds
24,St. Louis Cardinals
25,Arizona Diamondbacks
26,Los Angeles Dodgers
27,San Diego Padres
28,San Francisco Giants
29,Colorado Rockies
